artist.name,artist_mbtags,artist_mbtags_count,duration,familiarity,loudness,release.name,tempo,terms,title,year,,,,,
Grace Gale,,0,247.71873,0.612200429,-6.533,Stronger_ Faster_ Science,155.173,alternative metal,La Matanza,2008,,,,,
King Tee,hip hop,1,109.13914,0.495738583,-6.211,Tha Triflin' Album,183.437,hip hop,On Tha Rox,0,,,,,
Alain Morisod,,0,241.65832,0.353712386,-19.449,20 Melodies pour rever_ Volume 2,134.254,chill-out,L'Amour en Heritage,0,,,,,
Kassav',90s,1,655.67302,0.601395113,-8.294,Se Nou Manm (Live Au Zenith),134.086,zouk,Medley Final,0,,,,,
X,,0,233.22077,0.704093947,-6.898,At Home With You,141.846,heavy metal,All Over Now,0,,,,,
Sui Generis,,0,335.33342,0.576404205,-16.111,Adios Sui Generis Vol III,107.592,cumbia,Cuando Ya Me Empiece A Quedar Solo,1973,,,,,
Eminem,hip-hop,2,397.60934,0.871010615,-7.038,Beautiful,131.955,hip hop,Beautiful,2009,,,,,
Sunnyland Slim,,0,344.71138,0.485792919,-14.165,Chicago Blues Festival 1974 With Jimmy Dawkins,108.105,piano blues,No More Troubles,0,,,,,
Stew,,0,299.07546,0.541077953,-14.023,Something Deeper Than These Changes,117.367,cabaret,L.A. Arteest CafA(c),2003,,,,,
Cauda Pavonis,,0,205.11302,0.502965075,-3.697,The Gothic Sounds of Nightbreed Volume 5,180.203,new wave,Juggernaut,0,,,,,
Twista,hip hop rnb and dance hall,1,259.36934,0.889613555,-6.945,The Day After,114.752,gangster rap,Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),2005,,,,,
Geddy Lee,canadian,1,271.46404,0.509021261,-5.956,My Favorite Headache,119.953,instrumental rock,Runaway Train (LP Version),2000,,,,,
Planetakis,,0,234.73587,0.508461668,-2.019,Out of the Club Into the Night,137.936,electropop,Letters to Norway,2007,,,,,
Rick Ross,,0,105.40363,0.852569498,-8.451,Legendary,121.708,gangster rap,They Know (Remix),0,,,,,
Seal,british,2,354.76853,0.567313224,-11.918,Human Being,153.731,dance pop,Still Love Remains (Album Version),1998,,,,,
The Fureys,,0,198.5824,0.466331054,-20.975,The Fureys Finest,94.804,irish folk,The First Leaves Of Autumn,0,,,,,
Jim Jones / Max B,hip hop rnb and dance hall,1,256.39138,0.802925396,-6.888,Jim Jones / Hustler's P.O.M.E. (Product Of My Environment),106.756,gangster rap,Bright Lights_ Big City,0,,,,,
Simply Red,classic pop and rock,1,258.08934,0.731590593,-9.38,Men And Women,83.73,pop rock,Maybe Someday...,1987,,,,,
Juana Molina,world,1,213.26322,0.70366489,-19.775,Tres Cosas,46.867,folktronica,j Uh!,2004,,,,,
BA(c)zu,,0,155.48036,0.373850623,-5.772,BA(c)zu le roi de la fAate,123.294,chanson,Le clair de lune A  maubeuge,0,,,,,
David Meece,,0,268.01587,0.470414614,-13.474,David Meece/Chronology,119.437,ccm,Seventy Times Seven (LP Version),0,,,,,
Ayo,soul and reggae,1,534.62159,0.522590185,-9.158,Joyful,122.91,neo soul,Life Is Real,2006,,,,,
Red Hot Chili Peppers,alternative rock,3,319.55546,0.833967972,-4.144,Snow [Hey Oh] [Live],106.575,rap rock,Snow [Hey Oh] [Live Version],0,,,,,
Mothers Pride,,0,244.71465,0.572621944,-6.155,Halfpastheartache,79.252,funk metal,Silence,0,,,,,
Byzantine,,0,300.01587,0.596482482,-5.663,Oblivion Beckons,198.016,groove metal,Absolute Horizon,2008,,,,,
Halfway to Gone,,0,255.42485,0.50710874,-5.544,Halfway to Gone,122.624,southern rock,Turnpike,2004,,,,,
Robben Ford,jazz and blues,1,367.98649,0.604820432,-6.626,Soul On Ten,126.42,blues-rock,Spoonful,2009,,,,,
Charlie Cruz,,0,280.45016,0.533453343,-3.087,Asi Soy,188.502,salsa,Si Te Dicen Por Ahi,0,,,,,
Jacques Douai,,0,122.46159,0.313851152,-18.803,"Heritage - FlorilA""ge - BAM (1954-1978)",79.003,chanson,L'Etang ChimA(c)rique,0,,,,,
The Steeles,,0,231.41832,0.437463586,-10.447,For The Sake Of The Children,117.437,southern gospel,On The Road To Emmaus,0,,,,,
Sleepy John Estes,,0,197.0673,0.519000072,-15.163,Mississippi Delta Blues Jam In Memphis,130.889,country blues,Need More Blues,1993,,,,,
Beherit,finnish,1,185.05098,0.596184927,-13.213,Drawing Down the Moon,141.621,illbient,Werewolf_ Semen And Blood,1993,,,,,
Bobby Darin,american,2,210.38975,0.70441147,-7.54,Live! At The Desert Inn,81.895,brill building pop,Moritat (Mack The Knife),0,,,,,
Nick Colionne,,0,215.14404,0.563236431,-7.114,Keepin' It Cool,102.04,smooth jazz,If You Ask Me,2006,,,,,
SNAP!,german,2,404.37506,0.71881021,-9.317,Beauty Queen,130.286,pop rap,"Beauty Queen (12"" Spoon Club Mix)",2005,,,,,
Elliot Goldenthal,american,2,305.50159,0.599133769,-13.959,Titus - Original Motion Picture Soundtrack,140.629,instrumental rock,Pickled Heads,2000,,,,,
Mercedes Castro,,0,197.09342,0.435732004,-8.593,Mercedes Castro AcompaA+-ada con Mariachi Y Banda - En vivo,106.083,folk,El Capiro,0,,,,,
Marco Beltrami,italian,1,209.08363,0.594832624,-28.231,Knowing,121.28,soundtrack,Revelations,2009,,,,,
Hermeto Pascoal,jazz and blues,1,131.36934,0.579273042,-9.349,Slaves Mass,179.161,latin jazz,Little Cry For Him (Chorinho Pra Ele) (LP Version),0,,,,,
Jedi Mind Tricks,,0,205.06077,0.611933956,-5.688,Greatest Features,96.054,hip hop,Silence,0,,,,,
Joe Satriani,hard rock,1,300.82567,0.705876402,-5.943,Satriani Live,197.443,instrumental rock,Just Like Lightnin',2006,,,,,
Michael Stanley Band,,0,220.05506,0.44276965,-12.253,You Break It...You Bought It!,140.654,heartland rock,Lost In The Funhouse Again,1975,,,,,
Uman,,0,319.08526,0.533504314,-16.062,Conversations with God: A Windham Hill Collection,160.048,chill-out,The White Spirit,0,,,,,
John Williams,,0,229.69424,0.705287678,-20.958,War of the Worlds,151.444,soundtrack,Escape From The City,0,,,,,
The Gentle Good,,0,197.19791,0.492986719,-12,While You Slept I Went Out Walking,111.537,sxsw 2007,Cri'r Adar Main,0,,,,,
Lauren Wood,,0,352.33914,0.491910771,-16.137,Lauren Wood,168.861,soft rock,Time Zone (Album Version),0,,,,,
Ray Pillow,,0,129.12281,0.267576321,-13.404,Country And Western - Volume 1,98.015,country rock,We're Together Again,1998,,,,,
Baby Bash,,0,309.4722,0.833893808,-4.754,Menage a trois,155.979,pop rap,If Your Na Na Get Wet,0,,,,,
Mariah Carey,whistle register,1,241.65832,0.846455128,-9.635,The Emancipation of Mimi,131.761,dance pop,Mine Again,2005,,,,,
Frankie J,,0,273.00526,0.761357312,-6.728,The One,117.844,pop,Gone,2005,,,,,
George Nooks,,0,222.14485,0.563750448,-6.735,Better Days,85.994,dancehall,No One Knows,0,,,,,
Vangelis,greek,5,573.67465,0.772871995,-17.629,The City,119.712,progressive rock,Procession,1990,,,,,
Babylon Disco,,0,181.39383,0.452983132,-16.156,Natsukashii,89.992,breakcore,Multiplayer,2007,,,,,
Maria Bamford,,0,127.16363,0.59168036,-10.377,The Burning Bridges Tour,114.597,comedy,Vennette,2003,,,,,
Rubyhorse,,0,228.20526,0.547230938,-13.556,Rise,125.898,freestyle,The  First Of The Year,2002,,,,,
Tyrone Davis,,0,194.79465,0.543866303,-10.401,Call Tyrone,104.01,chicago soul,Ooh La La,0,,,,,
Flora Purim,,0,246.67383,0.479755041,-14.181,Perpetual Emotion,137.823,latin jazz,Airto's Jazz Dance,2001,,,,,
THE CHIFFONS,classic pop and rock,1,156.36853,0.599536502,-9.059,Sweet Talkin' Girls: The Best Of The Chiffons,113.431,doo-wop,When Summer's Through,1963,,,,,
Marcie Blane,,0,143.25506,0.421181869,-12.682,Bobby's Girl - The Complete Seville Recordings,140.903,doo-wop,Bobby's Girl (Previously Unreleased Demo - Stereo),0,,,,,
Atman,,0,284.31628,0.52607728,-11.613,Bar De Lune Presents Buddhist Chillout,170.034,downtempo,The Traveller,0,,,,,
Elizabeth Cotten,,0,295.60118,0.560215648,-16.678,Live!,99.959,ragtime,Freight Train,1958,,,,,
Sonora Santanera,,0,167.70567,0.487356791,-16.275,La Inspiracion De Agustin Lara,104.284,salsa,Cuando Quieres Tu,0,,,,,
Tommy McLain,,0,196.38812,0.343959015,-21.418,Voices Of Americana: Tommy McLain,152.294,swamp pop,Let It Be Me,0,,,,,
Flor Silvestre,,0,207.75138,0.42054585,-10.19,15 Exitos Vol. 2 Flor Silvestre,130.818,ranchera,Aquel Amor,0,,,,,
David Lynch,jazz,1,618.23955,0.56681391,-13.61,Lit'l Song,131.292,jazz fusion,Unicorn,0,,,,,
Ensiferum,finnish,1,352.49587,0.710203377,-5.827,Iron,105.05,power metal,Into Battle,2004,,,,,
Eluveitie,folk metal,1,307.69587,0.764566084,-4.367,Everything Remains (As It Never Was),110.018,death metal,(Do)Minion,2010,,,,,
Dark Party,,0,261.58975,0.506168491,-3.542,Ghostly Swim,175.948,parody,Active,2008,,,,,
Janet Jackson,pop and chart,1,67.10812,0.88169473,-63.9333578685,225900,1.32715,120.45,0.648,Interlude: Livin'...In Complete Darkness,0,,,,
Janice Vidal,mandarin,1,246.59546,0.449048445,-9.77,Wish,136.887,cantonese pop,Li Jia Chu Zou,0,,,,,
Albin Myers,,0,493.29587,0.528563793,-8.648,Times Like These,127.923,progressive house,Times Like These,0,,,,,
Hot Live Guys,,0,138.13506,0.443957107,-3.846,Robbin' A Bank,123.087,grunge,I'm A Killer,0,,,,,
Kanda Bongo Man,,0,554.68363,0.485827967,-12.831,Djessy,132.27,soukous,Djessy,0,,,,,
MAom,icelandic,3,249.05098,0.713945881,-15.775,Nightly Cares,95.576,glitch,Nightly Cares,2004,,,,,
Alex,,0,247.43138,0.640287557,-6.023,Self Control,127.979,new beat,Love Selecta (feat Iffectz & Marwa),0,,,,,
Marvin Sapp,,0,393.09016,0.733714697,-14.668,Grace And Mercy,89.726,gospel,Whosoever Will (LP Version),0,,,,,
Eluveitie,folk metal,1,78.18404,0.764566084,-14.481,Evocation I - The Arcane Dominion,111.127,death metal,A Girls Oath,0,,,,,
Jo Privat,,0,146.57261,0.391454064,-7.828,Dansez Avec Jo Privat,122.093,gypsy jazz,Rossignol Montmartrois (Polka),0,,,,,
Steel Pulse,soul and reggae,1,231.49669,0.698452539,-6.092,Rage and Fury,153.052,roots reggae,Ku Klux Klan,1978,,,,,
Keb'Mo',classic pop and rock,1,176.5873,0.632130913,-15.608,Keb' Mo',79.151,blues,Anybody Seen My Girl,1994,,,,,
Bob Marley,reggae,1,173.24363,0.778835827,-7.236,Keep on Moving,127.765,reggae,Lively Up Yourself,1991,,,,,
Rachael Lampa,,0,269.00853,0.625582625,-2.224,Blessed: The Best Of Rachael Lampa,101.905,ccm,I'm All Yours (LP Version),0,,,,,
Buzzcocks,uk,2,144.77016,0.700446614,-11.058,French,181.421,new wave,Get On Our Own,1978,,,,,
David Zinman,Pittsburgh Symphony Orchestra,classical,6.48742,7.059,-63.9333578685,284474,6.48742,170.899,0.621,Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,0,,,,
Rickie Lee Jones,classic pop and rock,1,314.72281,0.670615396,-9.785,Live at Red Rocks,147.736,folk rock,Just My Baby,1989,,,,,
Cece Winans,,0,292.51873,0.637772159,-9.915,Alone In His Presence,113.636,ccm,Because Of You,0,,,,,
Sofia Karlsson,,0,340.21832,0.566661658,-14.863,Folk Songs,101.897,chanson,I denna ljuva sommartid,2002,,,,,
Backstreet Boys,american,2,173.5571,0.851417629,-5.47,Black & Blue,86.693,teen pop,Shape Of My Heart,2000,,,,,
Mystic Rhythms Band,,0,206.2624,0.396651638,-8.913,Music For Dancing,140.834,chant,Firedance,0,,,,,
Epitaph,,0,494.21016,0.708368204,-11.017,Epitaph,144.84,kraut rock,Hopelessly,0,,,,,
Rodney O_ Joe Cooley,,0,222.24934,0.415784608,-11.255,The Best of Rodney O and Joe Cooley,99.612,miami bass,Let's Have Some Fun,1995,,,,,
Jerry Goldsmith,soundtrack,1,110.70649,0.650726924,-28.19,L.A. Confidential,130.908,soundtrack,The Keys,1997,,,,,
Alexis HK,,0,98.66404,0.629399857,-15.615,L'homme Du Moment,96.082,chanson,Juste Une Fois,2004,,,,,
Steve Erquiaga,,0,184.29342,0.461917431,-23.966,The Bach Variations,116.949,smooth jazz,Prelude In C Minor From The Well Tempered-Clavier,0,,,,,
Robert Palmer,uk,1,247.95383,0.755566398,-17.664,Double Fun,119.389,blue-eyed soul,Love Can Run Faster,1978,,,,,
Sigmatropic,greek,1,263.57506,0.497083116,-8.511,Dark Outside,128.006,post rock,The Blue Side of The Sun,2007,,,,,
Neon Blonde,rock and indie,1,170.70975,0.610349426,-5.059,Chandeliers In The Savannah,139.562,pop rock,New Detroit,2005,,,,,
Soul Ballet,smooth jazz,1,224.86159,0.493125957,-6.769,LAViSH,106.01,smooth jazz,da da Diamonds,2007,,,,,
Milk Inc.,,0,204.25098,0.652801355,-6.62,Double Cream,141.008,dance pop,Livin' A Lie (Video Mix),2001,,,,,
Korn,american,2,197.53751,0.829135422,-4.347,I KNOW WHAT YOU DID LAST SUMMER THE ALBUM,80.375,rap metal,Proud,1996,,,,,
Mario Piu',,0,355.39546,0.560195373,-9.3,Communication (Remix),133.015,hard house,Communication (More Mix),0,,,,,
Joy Division,post-punk,4,128.67873,0.764287183,-9.663,Let The Movie Begin,135.066,alternative,Passover,1980,,,,,
Bob Crosby,,0,171.85914,0.510928703,-14.946,1937/40 Broadcasts,100.317,chanson,Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago),0,,,,,
The Frantic,,0,146.15465,0.583873883,-5.22,Audio & Murder,112.09,hard house,Rock & Roll Renegade,0,,,,,
Ruffneck,,0,201.97832,0.447442092,-5.411,Ma Motivation,134.245,deep house,C'Est Moi L'BO$$,0,,,,,
Devo,post-punk,1,141.08689,0.707839968,-11.714,Q: Are We Not Men?  A: We Are Devo / Devo Live,155.26,rock,Soo Bawlz,1979,,,,,
Sofia Karlsson,,0,165.69424,0.566661658,-10.062,SAPder Om KA$?rleken,205.16,chanson,BlAY=sut,2009,,,,,
The Perrys,,0,241.44934,0.501337162,-8.962,Hits & Hymns Volume II,45.709,christian music,By Faith I Can Touch Him Now,0,,,,,
Shirley Caesar,,0,408.05832,0.579309488,-12.411,He's Working It Out For You,154.483,symphony,Wait On The Lord  (LP Version),0,,,,,
The Jets,ireland,1,280.65914,0.565482351,-9.923,Back to Back - Atlantic Starr & The Jets,122.954,freestyle,Curiosity,0,,,,,
Dolce, Orange Factory,,0.16772,0.155,-98.52102,776019,0.16772,202.052,1,Fire (Orange Factory Dub),0,,,,
Rihanna,barbadian,3,235.98975,0.917863906,-8.298,Music Of The Sun,85.976,dance pop,Music Of The Sun,2005,,,,,
Tin Hat Trio,jazz and blues,1,407.06567,0.547801656,-12.957,Helium,144.012,chamber jazz,Width Of The World,2000,,,,,
DJ Nasty,,0,188.26404,0.582365879,-3.586,Tha Remixes Vol. 19,145.008,bass music,Houston Anthem,0,,,,,
Bill & Gloria Gaither,,0,175.15057,0.426882762,-17.452,Turn Your Radio On,75.06,country gospel,Til The Storm Passes By,0,,,,,
Angelo Badalamenti,soundtrack,3,86.56934,0.698770478,-23.476,Mulholland Drive,90.336,chill-out,Dinner Party Pool Music,2001,,,,,
Venice,,0,186.40934,0.588959572,-9.236,More Than One Love,136.861,folk-pop,More Than One Love,0,,,,,
Tommy Torres,,0,219.21914,0.638590617,-7.492,Pegadito,165.977,reggaeton,Pegadito,0,,,,,
Kanye West,hip-hop,2,189.962,0.877213746,-9.644,808s & Heartbreak,125.593,hip hop,Street Lights,2008,,,,,
Smash Palace,,0,274.442,0.473862997,-6.672,Fast_ Long_ Loud,118.959,power pop,Death of Me,0,,,,,
Natural Elements,,0,246.67383,0.44802055,-12.69,1999: 10 Year Anniversary,107.927,hip hop,More Than Vocals (MTV),0,,,,,
Dakis,,0,210.52036,0.336970428,-8.918,Moments,111.946,greek,Sentimento (Asteri_ Asteraki),0,,,,,
Dave Brockie Experience,,0,126.4322,0.484333758,-6.293,Songs For The Wrong,138.156,shock rock,Slips Of Paper,2003,,,,,
Emotion Code,,0,503.48363,0.314666669,-17.825,Mesmerise the Future,120.066,trance,Mesmerise The Future Part 1,0,,,,,
Debbie Davies,,0,243.30404,0.528835698,-5.981,Round Every Corner,125.05,blues-rock,Backseat Driver,1998,,,,,
Matisyahu,,0,242.15465,0.830592507,-8.702,Live at Stubb's,72.884,reggae,Refuge,2004,,,,,
Bow Wow Wow,classic pop and rock,1,167.83628,0.659139477,-12.324,Girl Bites Dog_ Your Compact Disc Pet,137.398,dance rock,Sex,0,,,,,
Der Plan,dA1/4sseldorf,1,218.67057,0.496224085,-15.429,Live At The Tiki Ballroom...,30.048,experimental rock,Engel,0,,,,,
Sergio Franchi,,0,165.74649,0.421960437,-14.431,The Heart Of Christmas,78.841,ballad,Oh Little Town Of Bethlehem,0,,,,,
Ashton Shepherd,,0,260.51873,0.679395051,-6.857,Sounds So Good,45.508,country rock,Old Memory,2008,,,,,
Janet Paschal,,0,207.69914,0.382546667,-10.204,The Good Road,180.121,southern gospel,The Lord Will Go Before You,0,,,,,
Lonnie Brooks,,0,156.21179,0.442196141,-9.392,Sweet Home Chicago (Paris 1975) (Blues Reference),138.386,blues-rock,Mama Talk To Your Daughter (take 2),0,,,,,
I Wayne,hip hop rnb and dance hall,1,244.32281,0.682067848,-5.587,Lava Ground,67.606,roots reggae,Grow Proper,2005,,,,,
Roy Rogers,,0,146.07628,0.510367933,-15.913,Ride Ranger Ride,101.195,western swing,My Chickasay Girl,0,,,,,
Jazzy B,bhangra,1,411.68934,0.612244817,-7.172,Romeo,156.066,bhangra,Soorma,2005,,,,,
Les Ogres De Barback,,0,404.45342,0.652367864,-10.899,Terrain vague,131.509,chanson,Flamme & co,2004,,,,,
Coffinberry,,0,146.83383,0.458532594,-10.427,God Dam Dogs,152.628,heartland rock,Welcome To Hell,0,,,,,
Janitor Joe,,0,169.22077,0.470012403,-12.114,Big Metal Birds,160.979,math rock,Boyfriend,1993,,,,,
Young-Holt Unlimited,,0,266.05669,0.502245023,-10.095,Born Again,156.298,soul jazz,We've Only Just Begun (LP Version),1971,,,,,
Charlie Peacock,,0,355.34322,0.481180212,-9.64,Kingdom Come,153.968,ccm,Night Won't Last Forever_ The (Kingdom Come Album Version),1999,,,,,
Brent Lamb,,0,250.38322,0.048852903,-10.753,Right Now It's Raining,110,country gospel,All The Difference In The World,0,,,,,
George Lopez,,0,211.53914,0.668020249,-16.169,Right Now Right Now,126.792,california,Memmer?... U Memmer!,0,,,,,
Rokia TraorA(c),world,1,273.08363,0.580367095,-9.784,TchamantchA(c),109.804,afrobeat,Koronoko,2008,,,,,
Vodka Collins,,0,220.52526,0.41178907,-5.654,Boy's Life,143.095,glam rock,See You Comin',0,,,,,
Mastodon,heavy metal,2,262.89587,0.780461749,-7.628,Leviathan,145.997,alternative metal,Megalodon,2004,,,,,
Joe Rogan,,0,179.51302,0.510993042,-5.475,Talking Monkeys In Space,134.112,comedy,Telepathy/Ted Haggard Got Cured of the Gay,2010,,,,,
Brenda Boykin,,0,263.73179,0.440258822,-10.235,Music For Cocktails - Fashion Show,86.684,nu jazz,Be My Lover,2008,,,,,
Tom Cochrane,country,1,320.44363,0.590360325,-11.415,Mad Mad World,88.072,heartland rock,Washed Away,1992,,,,,
Erik Berglund,,0,371.87873,0.377034085,-23.876,Angelic Harp Music,64.901,folk-pop,Angel Of Heaven's Gate,0,,,,,
Red Hot Chili Peppers,alternative rock,3,231.23546,0.833967972,-4.818,Freaky Styley,111.541,rap rock,American Ghost Dance (2003 Digital Remastered),1985,,,,,
James Newton Howard,american,1,95.50322,0.611381595,-28.506,The Happening,88.662,instrumental pop,Voices,1997,,,,,
Faith Yang,taiwanese,1,134.97424,0.374024633,-6.223,Self-Selected,136.984,singer-songwriter,Song 2,2009,,,,,
Roger Reynolds,,0,842.10893,0.31569241,-30.14,Process And Passion,60.013,serialism,Binaural Presentation - Focus On A Beam Emptied Of Thinking_ Outward...,0,,,,,
Toots Thielemans,guitarist,1,302.62812,0.641172818,-16.252,Only Trust Your Heart,68.326,latin jazz,Sophisticated Lady,1955,,,,,
SOJA,,0,295.49669,0.612640524,-9.32,Soldiers of Jah Army,124.771,roots reggae,Watch Them,0,,,,,
Jim Reeves,classic pop and rock,1,145.13587,0.624252499,-12.653,RCA  Country Legends,91.318,country gospel,I Guess I'm Crazy,1990,,,,,
The Del McCoury Band,folk,1,154.74893,0.608703568,-9.059,It's Just The Night,177.945,bluegrass,Asheville Turnaround,0,,,,,
Les Hou-Lops,,0,156.49914,0.27790004,-6.779,"Tout ira trA""s bien",102.77,freakbeat,Pour toute la vie,0,,,,,
Ketty DB,,0,203.83302,0.251104742,-13.657,Spacer,129.974,eurodance,Spacer,0,,,,,
Jeff And Sheri Easter,,0,185.57342,0.535292736,-6.604,Sittin' On Cloud Nine,110.209,southern gospel,Morning's Coming,0,,,,,
Sonic Subjunkies,,0,238.00118,0.392710303,-11.121,Live At The Suicide Club,96.972,jungle music,Backlash,0,,,,,
Gov't Mule,southern rock,2,378.95791,0.697174183,-5.856,By a Thread,196.141,jam band,Broke Down On The Brazos (Album),2009,,,,,
Ray Conniff,,0,126.58893,0.555765,-9.568,Happiness Is,82.752,instrumental pop,Popsy,0,,,,,
Sir Douglas Quintet,,0,193.59302,0.519686313,-11.08,The Complete Mercury Masters,85.2,blues-rock,She's About A Mover,0,,,,,
Michelle Tumes,,0,189.20444,0.612912573,-9.113,Center Of My Universe,107.932,ccm,Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version),0,,,,,
Major Lance,,0,141.42649,0.552021062,-9.379,The Very Best Of Major Lance,119.712,neo soul,Come See,1963,,,,,
Bad Azz,,0,255.84281,0.552053803,-7.532,Money Run,121.871,gangster rap,Ghetto,2003,,,,,
Kitty Wells,country,1,172.48608,0.551477434,-17.877,Wings Of Angels,105.732,honky tonk,This White Circle,0,,,,,
Defect & Quixotic,,0,267.75465,0.208373973,-5.136,Return Of The DJ 5.5 Optimized,102.008,turnablism,WristStraining Order,2008,,,,,
Mario Rosenstock,,0,339.33016,0.334542784,-7.018,Gift 2,84.769,irish,Radio Roy II,0,,,,,
Rockin' Dopsie_ Jr.,,0,205.71383,0.279531683,-8.265,Ultimate Mardi Gras,104.448,zydeco,Down at the Mardi Gras,0,,,,,
Static-X,industrial metal,2,268.06812,0.768004235,-5.051,Beneath...Between...Beyond...,129.97,industrial metal,Love Dump (Demo Version),0,,,,,
She Satellites,,0,149.36771,0.063480796,-7.798,Poison Lips,185.76,future jazz,No-Satellites,1999,,,,,
Saman,,0,243.98322,0.767815064,-7.807,Koocheyeh Khatereh,141.205,folk metal,Roorasty,0,,,,,
Smart Alex,portuguese,2,543.58159,0.625186798,-10.591,Produced & Remixed,0,progressive house,Chinz Ninja (Rui Da Silva mix),0,,,,,
OutKast,funk,2,366.39302,0.796420044,-6.788,Southernplayalisticadillacmuzik,177.662,dirty south rap,Call Of Da Wild,1994,,,,,
Michael Jackson,pop,4,281.73016,0.86652032,-4.843,Michael Jackson: The Ultimate Collection,131.319,motown,Dirty Diana,1987,,,,,
Bukka White,,0,342.7522,0.572470888,-14.419,Sky Songs,87.557,delta blues,Single Man Blues,0,,,,,
AFS,,0,220.08118,0.476748648,-13.308,Mother's Day,120.984,hardcore punk,Mother's Day Part 1,0,,,,,
Jim Reeves,classic pop and rock,1,121.73016,0.624252499,-12.744,Legends,151.73,country gospel,I'd Like To Be,1994,,,,,
Wet Wet Wet,uk,1,222.69342,0.642280769,-8.209,Weightless,105.95,blue-eyed soul,Weightless (Demo),0,,,,,
Tsar,,0,220.42077,0.587515495,-2.588,Band-Girls-Money,150.23,freestyle,Conqueror Worm,2005,,,,,
Martin Sexton,american,1,144.19546,0.641197515,-12.031,Camp Holiday,90.099,blue-eyed soul,White Christmas,2005,,,,,
Elliot Goldenthal,american,2,91.74159,0.599133769,-12.671,Titus - Original Motion Picture Soundtrack,177.465,instrumental rock,Arrows Of The Gods,2000,,,,,
Dave Valentin,jazz,1,262.55628,0.498991673,-10.325,Primitive Passions,125.294,latin jazz,San Juan,0,,,,,
Casual,,0,188.05506,0.581793766,-5.022,Truck Driver,92.571,hip hop,Classic Material,0,,,,,
Jimmy Burns,,0,211.74812,0.348920356,-7.461,Back To The Delta,138.755,soul blues,Groovin' With Jimmy,0,,,,,
"Claire ElziA""re",,0,152.97261,0.498230072,-11.339,La vie va si vite (Live),90.073,indie,Au mariage des Levon-Lecu (Live),0,,,,,
Dino,,0,206.96771,0.642358176,-22.504,Quiet Time,134.279,ccm,Wonderful Peace,0,,,,,
Luke Vibert,electronica,1,420.15302,0.632718261,-9.801,Mate Tron,125.008,trip hop,Mate Tron,2007,,,,,
Ice,,0,285.77914,0.649155774,-5.956,Darkest Light,111.046,dub,Time Will Tell,0,,,,,
Spiral Stairs,,0,65.51465,0.506734505,-22.71,The Real Feel,100.088,indie rock,Ladies And Gentlemen,2009,,,,,
Rea_ Chris,rock,1,366.28853,0.643182773,-13.018,The Road To Hell Part 2,131.948,soft rock,E,1999,,,,,
Scar Symmetry,melodic death metal,1,326.60853,0.700208518,-4.136,Pitch Black Progress,120.022,death metal,Deviate From The Form,2006,,,,,
Tito Puente,jazz,2,180.00934,0.722105298,-10.702,Mamborama,146.24,salsa,Mambo Tipico,1993,,,,,
Silverchair,post-grunge,4,213.13261,0.767768809,-5.382,Freak Show,91.922,post-grunge,The Door,1997,,,,,
Willie Bobo,,0,197.40689,0.588827101,-13.984,Willie Bobo's Finest Hour,80.391,latin jazz,Dichoso,0,,,,,
Lifehouse,,0,215.82322,0.820072418,-4.176,Lifehouse,164.002,post-grunge,Better Luck Next Time,2005,,,,,
Carlos Ponce,,0,223.60771,0.603550952,-6.804,La Historia,98.501,male vocalist,Todo Lo Que Soy,1999,,,,,
Ricardo Arjona,,0,219.68934,0.630550568,-10.208,Solo,93.376,latin,La mujer que no sone (Album),0,,,,,
Tyrone Wells,,0,252.65587,0.689793071,-7.825,Hold On,151.699,folk-pop,Baby Don't You Change,2005,,,,,
B.B. King,jazz and blues,1,237.66159,0.7087354,-4.651,Hurricane Relief: Come Together Now,151.284,blues-rock,Early In The Morning,2002,,,,,
John Sebastian,american,1,189.51791,0.518743959,-19.944,Tarzana Kid,103.666,folk rock,Sportin' Life,0,,,,,
Andre Verchuren,,0,153.25995,0.360729206,-12.187,Tango Pour Madameon,197.704,chanson,Valse Des Montagnes,0,,,,,
Scar Symmetry,melodic death metal,1,237.84444,0.718381342,-3.492,Holographic Universe,110.107,death metal,The Three-Dimensional Shadow,2008,,,,,
Concretes,rock and indie,1,204.85179,0.693258488,-11.112,Hey Trouble,89.676,pop rock,Souvenirs,2007,,,,,
Izzy Stradlin And The Ju Ju Hounds,,0,267.65016,0.489629327,-10.097,Izzy Stradlin And The Ju Ju Hounds,150.404,blues-rock,Train Tracks,1992,,,,,
Don Campbell,,0,223.29424,0.497655378,-6.87,Reggae Hits Vol. 35,157.897,pop rap,Unchain Us,0,,,,,
David Lynch,jazz,1,214.04689,0.56681391,-9.214,Good Wood,166.929,jazz fusion,Carry The Light,0,,,,,
Cotton Candy,,0,269.7922,0.559088469,-8.796,Top-Notch & First-Rate,139.026,cabaret,Hot Weiners (All The Way),0,,,,,
Frank Marino & Mahogany Rush,,0,336.79628,0.477295629,-8.978,Tales Of The Unexpected,139.499,blues-rock,Down_ Down_ Down,0,,,,,
